Entity,Code,Year,12.3.1 - Global food loss index - AG_FLS_INDEX
Central and Southern Asia (UN),,2016,96.76
Central and Southern Asia (UN),,2020,94.91
Central and Southern Asia (UN),,2021,88.7
Eastern and South-Eastern Asia (UN),,2016,99.06
Eastern and South-Eastern Asia (UN),,2020,99.48
Eastern and South-Eastern Asia (UN),,2021,99.97
Europe and Northern America (UN),,2016,99.49
Europe and Northern America (UN),,2020,106.53
Europe and Northern America (UN),,2021,100.94
Latin America and the Caribbean (UN),,2016,99.84
Latin America and the Caribbean (UN),,2020,100.5
Latin America and the Caribbean (UN),,2021,101.05
Least Developed Countries (LDCs),,2016,97.8
Least Developed Countries (LDCs),,2020,102.62
Least Developed Countries (LDCs),,2021,99.9
Northern Africa (UN),,2016,93.18
Northern Africa (UN),,2020,100.38
Northern Africa (UN),,2021,102.48
Northern America (UN),,2016,101.49
Northern America (UN),,2020,110.07
Northern America (UN),,2021,100.71
Small Island Developing States (SIDS),,2016,99.06
Small Island Developing States (SIDS),,2020,104.73
Small Island Developing States (SIDS),,2021,100.05
Sub-Saharan Africa (UN),,2016,99.33
Sub-Saharan Africa (UN),,2020,103.27
Sub-Saharan Africa (UN),,2021,98.89
World,OWID_WRL,2016,98.69
World,OWID_WRL,2020,101.2
World,OWID_WRL,2021,98.27
